SIG_CD,SD,SGG,TIME,YEAR,MONTH,HOUSING_E,TEMP_AVG,PRECI_DAY,POP,BUSINESS,RATIO,PRICE
28110,인천광역시,중구,200801,2008,1,9201.7842,-2.2072926,.24037018,89333,370,15.315058,93.72
28110,인천광역시,중구,200802,2008,2,9130.5615,-1.4627367,.11199019,89053,370,15.315058,94.8
28110,인천광역시,중구,200803,2008,3,8173.5771,5.9830775,1.1910487,88813,370,15.315058,87.64
28110,인천광역시,중구,200804,2008,4,8241.71,11.961664,1.3638983,88540,370,15.315058,89.8
28110,인천광역시,중구,200805,2008,5,7726.3359,15.747392,1.5613673,88484,370,15.315058,91.59999999999999
28110,인천광역시,중구,200806,2008,6,7917.3462,20.056633,2.2747605,88239,370,15.315058,97.54000000000001
28110,인천광역시,중구,200807,2008,7,8055.2671,23.782692,12.693337,88165,370,15.315058,105.43
28110,인천광역시,중구,200808,2008,8,9104.4922,24.763845,4.7693725,88165,370,15.315058,124.31
28110,인천광역시,중구,200809,2008,9,8558.2217,21.53023,2.0325651,88443,370,15.315058,109.67
28110,인천광역시,중구,200810,2008,10,7445.3291,16.137047,1.0456291,88592,370,15.315058,97.31999999999999
28110,인천광역시,중구,200811,2008,11,8633.1006,7.8546524,.70969832,88599,370,15.315058,94.56999999999999
28110,인천광역시,중구,200812,2008,12,8627.2334,1.456618,.56674749,88713,370,15.315058,93.86
28110,인천광역시,중구,200901,2009,1,9361.7207,-2.0536239,.064064212,88665,367,15.49943,96.31999999999999
28110,인천광역시,중구,200902,2009,2,9624.4453,1.9551735,.62262976,88636,367,15.49943,96.33
28110,인천광역시,중구,200903,2009,3,7611.937,5.0366521,1.7438579,88648,367,15.49943,87.16
28110,인천광역시,중구,200904,2009,4,8450.6318,10.467536,1.2467734,88543,367,15.49943,90.34
28110,인천광역시,중구,200905,2009,5,7966.5859,16.457926,3.6653132,88684,367,15.49943,92.40000000000001
28110,인천광역시,중구,200906,2009,6,8262.9717,20.252857,3.0746479,88804,367,15.49943,99.13
28110,인천광역시,중구,200907,2009,7,8204.6953,23.059341,11.714969,88975,367,15.49943,104.89
28110,인천광역시,중구,200908,2009,8,9357.6172,24.885538,9.5427408,88943,367,15.49943,115.04
28110,인천광역시,중구,200909,2009,9,9009.7051,21.145334,.87069654,89087,367,15.49943,110.11
28110,인천광역시,중구,200910,2009,10,8452.6035,16.036409,2.4569387,89244,367,15.49943,98.06
28110,인천광역시,중구,200911,2009,11,8965.3018,7.0626574,1.7340505,89446,367,15.49943,97.16
28110,인천광역시,중구,200912,2009,12,9379.3398,-.61381519,.58107281,89688,367,15.49943,97.16
28110,인천광역시,중구,201001,2010,1,10367.753,-4.1486349,.57119572,89788,342,21.767473,100.84
28110,인천광역시,중구,201002,2010,2,10102.555,.66763389,1.3692822,90063,342,21.767473,99.79000000000001
28110,인천광역시,중구,201003,2010,3,8842.0254,4.0670085,1.8556633,90400,342,21.767473,90.26000000000001
28110,인천광역시,중구,201004,2010,4,9208.5127,8.5675983,1.5429287,90632,342,21.767473,92.01000000000001
28110,인천광역시,중구,201005,2010,5,8567.2441,15.13088,2.9724495,90843,342,21.767473,92.37
28110,인천광역시,중구,201006,2010,6,8754.7939,21.155691,5.7556138,91001,342,21.767473,100.33
28110,인천광역시,중구,201007,2010,7,9054.4648,24.467384,7.2790613,91202,342,21.767473,109.23
28110,인천광역시,중구,201008,2010,8,10476.616,26.021404,11.244645,91400,342,21.767473,132.29
28110,인천광역시,중구,201009,2010,9,10036.003,22.035515,12.331532,91532,342,21.767473,126.66
28110,인천광역시,중구,201010,2010,10,8575.376,14.516453,.66051602,92869,342,21.767473,101.76
28110,인천광역시,중구,201011,2010,11,9247.1514,6.9842734,.54828119,92934,342,21.767473,100.21
28110,인천광역시,중구,201012,2010,12,9637.8193,-.62660939,.40222582,92890,342,21.767473,102.12
28110,인천광역시,중구,201101,2011,1,10714.308,-6.4298806,.1643884,92918,354,21.762465,131.98
28110,인천광역시,중구,201102,2011,2,10526.874,.094813317,1.2154964,93234,354,21.762465,129.6
28110,인천광역시,중구,201103,2011,3,9052.3203,3.3590486,.45985457,93248,354,21.762465,112.44
