,age,workclass,education,marital.status,occupation,relationship,race,sex,capital.gain,capital.loss,hours.per.week,native.country,income
1,82,Private,HS-grad,Widowed,Exec-managerial,Not-in-family,White,Female,0,4356,18,United-States,<=50K
3,54,Private,7th-8th,Divorced,Machine-op-inspct,Unmarried,White,Female,0,3900,40,United-States,<=50K
4,41,Private,Some-college,Separated,Prof-specialty,Own-child,White,Female,0,3900,40,United-States,<=50K
5,34,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,0,3770,45,United-States,<=50K
6,38,Private,10th,Separated,Adm-clerical,Unmarried,White,Male,0,3770,40,United-States,<=50K
7,74,State-gov,Doctorate,Never-married,Prof-specialty,Other-relative,White,Female,0,3683,20,United-States,>50K
8,68,Federal-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,0,3683,40,United-States,<=50K
10,45,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Black,Female,0,3004,35,United-States,>50K
11,38,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2824,45,United-States,>50K
12,52,Private,Bachelors,Widowed,Other-service,Not-in-family,White,Female,0,2824,20,United-States,>50K
13,32,Private,Masters,Separated,Exec-managerial,Not-in-family,White,Male,0,2824,55,United-States,>50K
15,46,Private,Prof-school,Divorced,Prof-specialty,Not-in-family,White,Male,0,2824,40,United-States,>50K
16,45,Private,11th,Divorced,Transport-moving,Not-in-family,White,Male,0,2824,76,United-States,>50K
17,57,Private,Masters,Divorced,Exec-managerial,Not-in-family,White,Male,0,2824,50,United-States,>50K
19,34,Private,Bachelors,Separated,Sales,Not-in-family,White,Male,0,2824,50,United-States,>50K
20,37,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,0,2824,40,United-States,>50K
21,29,Private,11th,Separated,Sales,Not-in-family,White,Female,0,2754,42,United-States,<=50K
22,61,Private,HS-grad,Divorced,Sales,Unmarried,White,Female,0,2754,25,United-States,<=50K
23,51,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,0,2603,40,United-States,<=50K
25,21,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,0,2603,40,United-States,<=50K
26,33,Private,1st-4th,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,2603,32,Mexico,<=50K
27,49,Private,5th-6th,Married-civ-spouse,Other-service,Husband,White,Male,0,2603,40,Greece,<=50K
28,37,Self-emp-inc,10th,Never-married,Transport-moving,Not-in-family,White,Male,0,2559,50,United-States,>50K
29,38,Private,10th,Never-married,Prof-specialty,Not-in-family,White,Male,0,2559,90,United-States,>50K
30,23,Private,Some-college,Separated,Other-service,Not-in-family,White,Male,0,2559,40,United-States,>50K
31,59,Self-emp-inc,10th,Widowed,Exec-managerial,Unmarried,White,Female,0,2559,50,United-States,>50K
32,52,Private,Prof-school,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,60,United-States,>50K
33,51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,0,2559,50,United-States,>50K
34,60,Self-emp-not-inc,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,0,2559,50,United-States,>50K
35,63,Federal-gov,Doctorate,Divorced,Exec-managerial,Not-in-family,White,Female,0,2559,60,United-States,>50K
36,53,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,0,2559,48,United-States,>50K
37,51,Private,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,50,United-States,>50K
38,37,Self-emp-not-inc,Doctorate,Never-married,Prof-specialty,Not-in-family,White,Female,0,2559,60,United-States,>50K
39,54,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Female,0,2559,40,United-States,>50K
40,44,Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Male,0,2547,50,United-States,>50K
41,43,Private,Masters,Divorced,Exec-managerial,Unmarried,White,Female,0,2547,40,United-States,>50K
42,51,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,0,2547,40,United-States,>50K
43,43,Private,Masters,Divorced,Prof-specialty,Unmarried,White,Female,0,2547,40,United-States,>50K
45,48,Private,Bachelors,Married-spouse-absent,Sales,Unmarried,White,Female,0,2472,70,United-States,>50K
46,71,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,0,2467,52,United-States,<=50K
47,73,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,0,2457,40,Vietnam,<=50K
50,40,Self-emp-not-inc,Prof-school,Never-married,Prof-specialty,Not-in-family,White,Male,0,2444,45,United-States,>50K
51,50,Private,HS-grad,Widowed,Sales,Not-in-family,White,Female,0,2444,72,United-States,>50K
52,51,State-gov,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Male,0,2444,39,United-States,>50K
53,42,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,0,2444,40,United-States,>50K
54,39,Private,Masters,Never-married,Sales,Not-in-family,White,Male,0,2444,45,United-States,>50K
55,32,Private,Bachelors,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,50,United-States,>50K
56,53,Private,Some-college,Separated,Craft-repair,Not-in-family,White,Male,0,2444,45,United-States,>50K
57,40,Local-gov,Some-college,Never-married,Protective-serv,Not-in-family,White,Male,0,2444,40,United-States,>50K
58,38,Private,Bachelors,Never-married,Sales,Not-in-family,White,Female,0,2444,45,United-States,>50K
59,33,Private,Assoc-voc,Separated,Craft-repair,Not-in-family,White,Male,0,2444,42,United-States,>50K
60,43,Private,Assoc-acdm,Divorced,Craft-repair,Not-in-family,White,Male,0,2444,70,United-States,>50K
61,50,Self-emp-inc,11th,Never-married,Exec-managerial,Other-relative,White,Male,0,2444,40,United-States,>50K
62,44,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,2415,6,United-States,>50K
63,51,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Male,0,2415,40,China,>50K
64,41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,40,United-States,>50K
66,37,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
67,55,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,35,Greece,>50K
68,39,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,60,United-States,>50K
69,42,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,60,United-States,>50K
70,49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,55,United-States,>50K
71,47,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
72,41,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,45,United-States,>50K
73,55,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
74,39,Private,Masters,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,2415,65,United-States,>50K
75,42,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,60,United-States,>50K
77,46,Private,Masters,Married-civ-spouse,Sales,Husband,White,Male,0,2415,65,United-States,>50K
78,40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,45,United-States,>50K
79,32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,48,United-States,>50K
80,41,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,55,United-States,>50K
81,60,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,2415,80,United-States,>50K
82,31,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,70,Taiwan,>50K
83,58,Self-emp-not-inc,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,2415,40,United-States,>50K
84,37,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,0,2415,50,United-States,>50K
85,44,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,2415,50,United-States,>50K
