"X","Address","FLAG","Avg.min.between.sent.tnx","Avg.min.between.received.tnx","Time.Diff.between.first.and.last..Mins.","Sent.tnx","Received.Tnx","Number.of.Created.Contracts","Unique.Received.From.Addresses","Unique.Sent.To.Addresses","min.value.received","max.value.received","avg.val.received","min.val.sent","max.val.sent","avg.val.sent","min.value.sent.to.contract","max.val.sent.to.contract","avg.value.sent.to.contract","total.transactions..including.tnx.to.create.contract","total.Ether.sent","total.ether.received","total.ether.sent.contracts","total.ether.balance","Total.ERC20.tnxs","ERC20.total.Ether.received","ERC20.total.ether.sent","ERC20.total.Ether.sent.contract","ERC20.uniq.sent.addr","ERC20.uniq.rec.addr","ERC20.uniq.sent.addr.1","ERC20.uniq.rec.contract.addr","ERC20.avg.time.between.sent.tnx","ERC20.avg.time.between.rec.tnx","ERC20.avg.time.between.rec.2.tnx","ERC20.avg.time.between.contract.tnx","ERC20.min.val.rec","ERC20.max.val.rec","ERC20.avg.val.rec","ERC20.min.val.sent","ERC20.max.val.sent","ERC20.avg.val.sent","ERC20.min.val.sent.contract","ERC20.max.val.sent.contract","ERC20.avg.val.sent.contract","ERC20.uniq.sent.token.name","ERC20.uniq.rec.token.name","ERC20.most.sent.token.type","ERC20_most_rec_token_type"
1125,1.63681126726304e+47,0,1.86,0.66,320.1,62,3,0,3,62,4079.146006,5769.555293,5000.5,268.535869,3572.28,337.558039,0,0,0,69,5406.188065,10001,0,1.701688242,0,0,0,0,0,0,0,0,0,0,0,0,1.337,1033.31,0.615886,0,0,0,0,0,0,0,0,"0","0"
107,6.33178679922461e+45,0,108.58,1.46,71.73,4,2,0,2,4,2.750579,89.433118,50.5,0.1,71.40483,25.249506,0,0,0,5,100.9990158,101,0,0.0021,0,2001074.116,2697682.406,0,1,1,0,1,0,0,0,0,298892,0,0,990000,0,0,0,0,0,1,1,"0","0"
5220,7.89959806080398e+47,0,157.38,0,324.1,2,1,0,1,2,101,101,101,0.05,100.996732,50.499508,0,0,0,3,100.9984519,117.0001,0,0.04837242,0,1.337,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"0","0"
7624,1.17273760165552e+48,0,161.24,0.5,323.77,2,2,0,1,2,101,101,101,31.498804,82.629016,50.499475,0,0,0,3,330.4325975,432.5290338,0,0.003310975,0,0,0,0,0,0,0,0,0,0,0,0,0,3e+05,0,161.594325,0,0,0,0,0,0,0,"0","0"
502,6.68627748922567e+46,0,52.91,0.3,75.03,3,2,0,2,3,45.303217,51.303003,50.5,5.836762,71.896431,33.666149,0,0,0,5,100.9990158,30.1222493,0,0.00177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1487.927646,0,0,0,0,0,0,0,0,"0","0"
8622,6.26073454664616e+47,1,0,133.71,174708.82,1,9,0,9,1,0,0.132048,0,0,1.049,0.6676,0,0,0,12,0,0.53,0,-8.193485884,1,0,0,0,0,0,0,0,0,0,0,0,0,13.37,0,0,0,0,0,0,0,0,0," "," "
4969,7.48702621994801e+47,0,157.47,0.29,325.12,2,2,0,2,2,35.357723,81.235718,50.5,1.141371,100.679004,50.499286,0,0,0,4,100.998488,101,0,0.001046957,0,3.58e-07,0,0,0,1,0,1,0,0,0,0,0.225979,0,13.37,0,0,0,0,0,0,0,1,"0","0"
1758,2.64585250533511e+47,0,1882.17,1983.91,437653.97,38,227,0,9,22,0.031191,13.807301,9.580231,0.13,80,5.690919,0,0,0,283,100.9975442,84.94217602,0,0.002562,5,23829.89883,0,0,0,2,0,3,0,0,0,0,7.77,3.792896,0,0,0,0,0,0,0,0,3,"None","Tronix"
2710,4.04441630257024e+47,0,4.75,1.18,69.72,3,2,0,2,3,16.705301,84.280068,50.5,12.863376,45.38084,33.665988,0,0,0,5,100.998446,41.43,0,0.001414909,0,2.959721615,0,0,0,1,0,1,0,0,0,0,0,1.337,0,0,0,0,0,0,0,0,1,"0","0"
8838,7.8065809174572e+47,1,0,135.08,10348.27,1,3,0,3,1,0.358941,2,0.099517,2.12947,3.998987,3.689139,0,0,0,2,22.9327283,1.39802193,0,0.291470768,2,1.337,0,0,0,2,0,2,0,0,0,0,0,0,0,0,6940,100,0,0,0,0,2," ","DMTS"
8856,7.86433307353522e+47,1,7039.45,1784.7,65227.57,9,3,0,3,6,0.01,15.079927,5.604336,0,19.88958,6.611651,0,0,0,15,0,16.1331699,0,0.001026218,23,1.337,7054.486,0,5,10,0,11,0,0,0,0,0,0,13.37,100,170.710453,1525.844077,0,0,0,4,11,"Cashaa","Hash Power Token"
4573,6.96049888483111e+47,0,9.2,254.62,1238.77,6,2,0,2,1,1.266,2.001935,0.544092,1.763025,3.423815,3.463316,0,0,0,7,11.74283114,31.01595948,0,0.001875559,0,1.103921788,0,0,0,1,0,1,0,0,0,0,0.676935,6,0,0,0,0,0,0,0,0,1,"0","0"
1197,1.72991389996638e+47,0,953.88,217.41,189836.72,48,105,0,8,1,0.003,100,2.89875,0.498441,1082,100.90074,0,0,0,131,4350.816,4618.823828,0,1072.652838,17,0,0,0,0,11,0,16,0,0,0,0,0,22377.61196,1.1805,0,2917,0,0,0,0,0,16,"None","XENON"
4000,6.07892542141616e+47,0,33567.88,2098.76,203290.63,6,2,0,2,6,0.05934,0.42,0.211598,0,0.11574,0,0,0,0,6,0,94.57918918,0,0.002697284,7,0,0,0,0,5,0,5,0,0,0,0,0,13.37,0,0,0,0,0,0,0,0,5,"None","WELL Token"
3012,4.47667424113886e+47,0,82.42,6274.58,1021811.93,1691,27,0,3,2,0.00259,88.885818,17.18927,0.326997,290.053234,3.264852,0,0,0,1632,979.7393223,298.2972027,0,15.62903167,18,365,0.053022557,0,1,11,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,"blockwell.ai KYC Casper Token"," "
5085,7.68858721231116e+47,0,160.77,0.82,321.17,2,2,0,2,2,9.569714,96.287983,30.21,10.740311,100.998016,50.499508,0,0,0,4,100.9984698,101,0,0.040962962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337,0,0,131937.1467,0,0,0,0,0,"0","0"
2963,4.39161124158875e+47,0,23.38,0,79.08,3,1,0,1,3,101,101,101,7.544056,54.352811,33.666149,0,0,0,5,313.9,302.3649021,0,0.010950481,0,1.337,0,0,0,1,0,1,0,0,0,0,1.337,93168.5516,3631.411921,0,0,0,0,0,0,0,1,"0","0"
8072,2.59723772434238e+47,1,0,0,0,0,1,0,1,0,10000,10000,12963.95,0,0,0,0,0,0,0,0,10000,0,10000,44,0.769756052,0,0,0,39,0,2,0,0,0,0,0,0,3836.356052,0,0,0,0,0,0,0,2," ","GSENetwork"
5029,7.57944644298545e+47,0,26.32,0.13,75.13,3,6,0,6,3,3.284299,55.945311,17.474066,0.854871,55.434737,30.001087,0,0,0,8,100.9979647,101,0,0.299308436,0,0.428178198,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,85301.52808,0,0,0,0,1,"0","0"
4310,6.5349018468596e+47,0,159.94,0,324.53,2,1,0,1,2,101,101,101,0.173947,99.999016,50.499508,0,0,0,3,24.9978,101,0,-1.964503397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0","0"
3918,5.94158416612713e+47,0,0,1416.62,162004.78,1,3,0,1,1,0,0,0.93872,0,0,0,0,0,0,3,3,44.8,0,0.03230129,3,6117.27167,0,0,0,3,0,3,0,0,0,0,7.096807,6485.58992,0,0,0,0,0,0,0,0,3,"None","OmiseGO"
3356,5.05051633475836e+47,0,2.78,0,7.35,3,1,0,1,3,101,1900.529431,1000.5,8.4,1490.268996,666.999528,0,0,0,4,2000.998585,2001,0,0.000984218,0,525.3572781,0,0,0,1,0,1,0,0,0,0,1.49565,0,3054.786848,0,0,0,0,0,0,0,1,"0","0"
2963,4.39817954493177e+47,0,8752.43,3620.74,80594.87,9,23,0,14,8,0,5.491,3.72,0,0,0.056687,0,0,0,29,2.852158468,0.999454,0,0.00025202,36,0,0,0,0,20,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,"None","Insolar"
